Frequency (Hz),Absolute Amplitude (a.u.)
23.4375,0.8922410023
46.875,5.568106909
70.3125,3.202190764
93.75,5.549325198
117.1875,8.033923251
140.625,10.4868272
164.0625,5.664031661
187.5,3.467032674
210.9375,2.095451023
234.375,0.05422287241
257.8125,1.515491628
281.25,2.625727656
304.6875,2.766574485
328.125,1.918898137
351.5625,0.6139786293
375,0.6019090993
398.4375,0.8535237491
421.875,0.6050706462
445.3125,0.2121702831
468.75,0.408817979
492.1875,0.5318568075
515.625,0.3172843597
539.0625,0.1872676846
562.5,0.3798904058
585.9375,0.3870212629
609.375,0.126927614
632.8125,0.2010398797
656.25,0.224999386
679.6875,0.2068265522
703.125,0.08937909787
726.5625,0.2489158479
750,0.125428113
773.4375,0.2197347259
796.875,0.04513883701
820.3125,0.08882378708
843.75,0.09533301116
867.1875,0.1497409738
890.625,0.2993336104
914.0625,0.1097361816
937.5,0.103751376
960.9375,0.1757650957
984.375,0.2687025013
1007.8125,0.4841450154
1031.25,0.1849558741
1054.6875,0.1955904206
1078.125,0.1978904247
1101.5625,0.2471373702
1125,0.1952245665
1148.4375,0.4926473817
1171.875,0.334742929
1195.3125,0.1161045675
1218.75,0.5839572862
1242.1875,0.473256358
1265.625,1.278483766
1289.0625,0.8677637227
1312.5,1.131785074
1335.9375,1.108712491
1359.375,1.737837088
1382.8125,1.333142844
1406.25,0.9696331192
1429.6875,0.7612818834
1453.125,0.3780641231
1476.5625,0.3045428968
1500,0.096387913
1523.4375,0.3671612439
1546.875,0.4184761561
1570.3125,0.3685162327
1593.75,0.2185017123
1617.1875,0.1995623056
1640.625,0.1247279264
1664.0625,0.2256975848
1687.5,0.1244231436
1710.9375,0.1757231204
1734.375,0.1907128233
1757.8125,0.1875466326
1781.25,0.1684879589
1804.6875,0.1342468432
1828.125,0.05007054689
1851.5625,0.147116586
1875,0.1280323213
1898.4375,0.08315806989
1921.875,0.076617925
1945.3125,0.01185296308
1968.75,0.03737854256
1992.1875,0.02687236352
2015.625,0.04765841301
2039.0625,0.07403797879
2062.5,0.04730777616
2085.9375,0.01158582289
