Frequency (Hz),Absolute Amplitude (a.u.)
23.4375,0.2297560476
46.875,0.5192321127
70.3125,0.6643937359
93.75,0.1427103337
117.1875,0.8934465822
140.625,0.3222103836
164.0625,0.1413656203
187.5,0.2377788901
210.9375,0.08631165778
234.375,0.2447172314
257.8125,0.05151969921
281.25,0.08660955894
304.6875,0.1659865442
328.125,0.0704658141
351.5625,0.04027730285
375,0.06397752145
398.4375,0.03377427391
421.875,0.04406532804
445.3125,0.022041555
468.75,0.03845857036
492.1875,0.04439453311
515.625,0.0128685185
539.0625,0.06262865355
562.5,0.0203670003
585.9375,0.03312593143
609.375,0.05171311787
632.8125,0.03245899828
656.25,0.02536998169
679.6875,0.01140828387
703.125,0.02025248975
726.5625,0.02002076815
750,0.01481874128
773.4375,0.007734680544
796.875,0.013021873
820.3125,0.01456968909
843.75,0.01986280442
867.1875,0.01086726674
890.625,0.007133415037
914.0625,0.006643936574
937.5,0.02321093117
960.9375,0.007202889822
984.375,0.004693333247
1007.8125,0.004390274508
1031.25,0.005311724612
1054.6875,0.006359637111
1078.125,0.02839282257
1101.5625,0.04589552982
1125,0.01086268582
1148.4375,0.04249159486
1171.875,0.03020821579
1195.3125,0.01808539251
1218.75,0.01425396567
1242.1875,0.02330001417
1265.625,0.04733539756
1289.0625,0.03336276792
1312.5,0.05997446764
1335.9375,0.07869154377
1359.375,0.01664167197
1382.8125,0.09563657842
1406.25,0.09714261548
1429.6875,0.01271300574
1453.125,0.0406406737
1476.5625,0.02483911604
1500,0.02275357001
1523.4375,0.06882911173
1546.875,0.05171204206
1570.3125,0.009646475934
1593.75,0.02252189553
1617.1875,0.03992903714
1640.625,0.01313263402
1664.0625,0.04577609596
1687.5,0.02247487064
1710.9375,0.01967709595
1734.375,0.02103420381
1757.8125,0.002606521242
1781.25,0.0284840619
1804.6875,0.008553976144
1828.125,0.01981021728
1851.5625,0.01087681583
1875,0.01180705567
1898.4375,0.01907785386
1921.875,0.0238406939
1945.3125,0.003815442363
1968.75,0.006265141502
1992.1875,0.01885022573
2015.625,0.007495588669
2039.0625,0.008438750298
2062.5,0.0101823547
2085.9375,0.01617825943
2109.375,0.01946406317
2132.8125,0.0146525027
2156.25,0.02198666423
2179.6875,0.01874791361
2203.125,0.004719084025
2226.5625,0.02971360422
2250,0.02131268102
2273.4375,0.01322096059
2296.875,0.02288068488
2320.3125,0.04386128058
2343.75,0.02428433396
2367.1875,0.02018823209
2390.625,0.01679032779
2414.0625,0.02320563831
2437.5,0.01418438669
2460.9375,0.008965946493
2484.375,0.008993006438
2507.8125,0.007940596391
2531.25,0.00565378957
2554.6875,0.01466301906
2578.125,0.01248817084
2601.5625,0.01698153088
2625,0.01154397959
2648.4375,0.006870899717
2671.875,0.006791259342
2695.3125,0.005793174266
2718.75,0.009489701481
2742.1875,0.01687199532
2765.625,0.003879652302
2789.0625,0.01728419965
2812.5,0.008717122178
2835.9375,0.01038815536
2859.375,0.006755310885
2882.8125,0.02092646722
2906.25,0.00884406376
