Frequency (Hz),Absolute Amplitude (a.u.)
23.4375,1.6440362
46.875,3.567142038
70.3125,3.573581429
93.75,3.992591114
117.1875,6.457144148
140.625,2.812655815
164.0625,3.099927995
187.5,2.264411461
210.9375,3.470647686
234.375,2.21913801
257.8125,1.620110033
281.25,1.70006314
304.6875,0.8694625068
328.125,0.7347191989
351.5625,1.30671074
375,0.8657399345
398.4375,1.164311666
421.875,0.8023936912
445.3125,1.026479513
468.75,0.7175413041
492.1875,0.8036292793
515.625,0.7541887969
539.0625,0.5558241965
562.5,0.752250349
585.9375,0.7079398175
609.375,0.591088216
632.8125,0.3001966314
656.25,0.2845556169
679.6875,0.1351210974
703.125,0.2081631505
726.5625,0.6142221787
750,0.3881760931
773.4375,0.3357140601
796.875,0.1710426237
820.3125,0.1259221432
843.75,0.2107983654
867.1875,0.455276278
890.625,0.3519236577
914.0625,0.1541173018
937.5,0.2946879815
960.9375,0.2306944679
984.375,0.1954748149
1007.8125,0.348552859
1031.25,0.4453780025
1054.6875,0.4364976059
1078.125,0.5762480077
1101.5625,0.234651898
1125,0.04959435419
1148.4375,0.5963511793
1171.875,1.14874444
1195.3125,0.9755370889
1218.75,1.160503584
1242.1875,1.305142227
1265.625,1.022301665
1289.0625,1.141485453
1312.5,0.2990429289
1335.9375,0.5210834613
1359.375,0.4346677996
1382.8125,0.4563534103
1406.25,0.07960408517
1429.6875,0.1305773689
1453.125,0.2003354937
1476.5625,0.1411140117
1500,0.1237982986
1523.4375,0.1501051554
1546.875,0.04145053024
1570.3125,0.06800313962
1593.75,0.06376823551
1617.1875,0.02689300489
1640.625,0.1500813985
1664.0625,0.2214313049
1687.5,0.03378039683
1710.9375,0.06514969696
1734.375,0.02640182774
1757.8125,0.03267101736
1781.25,0.05129634504
1804.6875,0.05151548986
1828.125,0.04745721972
1851.5625,0.1107961421
1875,0.02366233554
1898.4375,0.0327367057
1921.875,0.0551878207
1945.3125,0.02010057687
1968.75,0.08705988184
1992.1875,0.04503568072
2015.625,0.03664031643
2039.0625,0.01737192004
2062.5,0.05541583358
2085.9375,0.02621061737
2109.375,0.04950185287
2132.8125,0.03107062059
2156.25,0.04365965274
2179.6875,0.03867392423
2203.125,0.04826580187
2226.5625,0.0203673037
2250,0.0176373043
2273.4375,0.04717721844
2296.875,0.03737651775
2320.3125,0.03631241059
2343.75,0.07070298892
2367.1875,0.03201781163
2390.625,0.02945246696
2414.0625,0.01254925593
2437.5,0.02603154206
2460.9375,0.0237543334
2484.375,0.02273234542
2507.8125,0.02260944087
2531.25,0.02124179267
2554.6875,0.02652462932
2578.125,0.03171960338
2601.5625,0.01441894511
2625,0.01710686787
2648.4375,0.01617668556
2671.875,0.02340201893
2695.3125,0.009938263205
2718.75,0.002053499169
2742.1875,0.01639046732
2765.625,0.01042267914
2789.0625,0.01157808993
2812.5,0.0207094978
2835.9375,0.01910410224
2859.375,0.01908624038
2882.8125,0.01847756749
2906.25,0.01519368931
2929.6875,0.009521939527
2953.125,0.01886332834
2976.5625,0.01247031709
3000,0.01081968815
3023.4375,0.005070088134
3046.875,0.002699859323
3070.3125,0.02777106795
3093.75,0.008185820868
3117.1875,0.01504918566
3140.625,0.006643214395
3164.0625,0.02313651617
3187.5,0.02248545344
3210.9375,0.02437449978
3234.375,0.02133276954
3257.8125,0.0405264413
3281.25,0.09423925351
3304.6875,0.0199389154
3328.125,0.09655567055
3351.5625,0.08214711955
3375,0.02881083863
3398.4375,0.04864916775
3421.875,0.0513467261
3445.3125,0.05705875441
3468.75,0.04360211925
3492.1875,0.03314225565
3515.625,0.05751905221
3539.0625,0.02052791905
3562.5,0.04704137048
3585.9375,0.04734661237
3609.375,0.1143269269
3632.8125,0.05169402525
3656.25,0.08057417661
3679.6875,0.02907248201
3703.125,0.03990484589
3726.5625,0.09010120655
3750,0.1223769823
3773.4375,0.09361394933
3796.875,0.05721420532
3820.3125,0.04581449326
3843.75,0.06234581357
3867.1875,0.06478608212
3890.625,0.04705430623
3914.0625,0.07088445761
3937.5,0.07287745057
3960.9375,0.005635509542
3984.375,0.01745125958
4007.8125,0.05681699232
4031.25,0.04578360067
4054.6875,0.07228667728
4078.125,0.0495388851
4101.5625,0.02813493725
4125,0.1234508813
4148.4375,0.01045135958
4171.875,0.03849007425
4195.3125,0.03368961648
4218.75,0.04569560299
4242.1875,0.01096540063
4265.625,0.02636820463
4289.0625,0.0175893069
4312.5,0.0362712498
4335.9375,0.06212020759
4359.375,0.03662592183
4382.8125,0.05680347282
4406.25,0.0277715232
4429.6875,0.02728273445
4453.125,0.02708763896
4476.5625,0.02624625575
4500,0.02399612143
4523.4375,0.01745916019
4546.875,0.02573828599
4570.3125,0.008404112001
4593.75,0.002629292196
4617.1875,0.01477229742
4640.625,0.009833728519
4664.0625,0.006476489132
4687.5,0.009162191892
4710.9375,0.004270450557
4734.375,0.007071025604
4757.8125,0.01081910889
4781.25,0.004522673581
4804.6875,0.002129688839
4828.125,0.001721644866
4851.5625,0.006110880278
4875,0.001000115959
4898.4375,0.005175152062
4921.875,0.007871304798
4945.3125,0.004307376965
4968.75,0.01092598539
4992.1875,0.006743608492
5015.625,0.009273412235
5039.0625,0.004610603523
5062.5,0.007912163755
5085.9375,0.01110151038
5109.375,0.01530605736
5132.8125,0.01510319459
5156.25,0.01095133156
5179.6875,0.007189399562
5203.125,0.01334128639
5226.5625,0.002586482371
5250,0.01007512836
5273.4375,0.00330324433
5296.875,0.003687062219
5320.3125,0.005909240289
5343.75,0.01645170279
5367.1875,0.01658758109
5390.625,0.02410270093
5414.0625,0.01519272876
5437.5,0.005938067903
5460.9375,0.01000220861
5484.375,0.008854550782
5507.8125,0.007859956849
5531.25,0.01192029088
5554.6875,0.01494821259
5578.125,0.01428300687
5601.5625,0.01268617621
5625,0.012567337
5648.4375,0.006813656239
5671.875,0.002217773123
5695.3125,0.00342989546
5718.75,0.005533671303
5742.1875,0.01181831426
5765.625,0.01749634397
5789.0625,0.006782584156
5812.5,0.005258948722
5835.9375,0.009303253665
5859.375,0.01033419015
5882.8125,0.002314101601
5906.25,0.01122164973
5929.6875,0.008526880411
5953.125,0.01187576763
5976.5625,0.009707284179
6000,0.006311204461
6023.4375,0.009632223173
6046.875,0.009691243096
6070.3125,0.0113358154
6093.75,0.01539769216
6117.1875,0.01525079085
6140.625,0.01224250049
6164.0625,0.03077397871
6187.5,0.03087679557
6210.9375,0.008486006215
6234.375,0.02814179307
6257.8125,0.02547686217
6281.25,0.04259741256
6304.6875,0.01683587408
6328.125,0.03595132758
6351.5625,0.02996005747
6375,0.03349357407
6398.4375,0.03354051938
6421.875,0.01273706731
6445.3125,0.01142570074
6468.75,0.01604794401
6492.1875,0.02131781657
6515.625,0.006507658644
6539.0625,0.03546924417
6562.5,0.02436028464
6585.9375,0.03245428427
6609.375,0.01100946918
6632.8125,0.02203403922
6656.25,0.03467681849
6679.6875,0.004641348349
6703.125,0.0057919116
6726.5625,0.02369793189
6750,0.02978763458
6773.4375,0.02499874934
6796.875,0.01066790101
6820.3125,0.009220589282
6843.75,0.01144448452
6867.1875,0.02579919285
6890.625,0.00963211588
6914.0625,0.009075100321
6937.5,0.01729824041
6960.9375,0.0205146858
6984.375,0.02688577628
7007.8125,0.01772016844
7031.25,0.03554412271
7054.6875,0.01645879189
7078.125,0.006367909658
7101.5625,0.03422043493
7125,0.005676824045
7148.4375,0.01974628254
7171.875,0.01208160319
7195.3125,0.03332547568
7218.75,0.005948096384
7242.1875,0.01013384492
7265.625,0.01791943951
7289.0625,0.02672786173
7312.5,0.03337564439
7335.9375,0.009598339175
7359.375,0.0139188465
7382.8125,0.009833425329
7406.25,0.01000926404
7429.6875,0.01098825434
7453.125,0.02421864207
7476.5625,0.01239434529
7500,0.01197816399
7523.4375,0.01891803904
7546.875,0.01796200475
