Frequency (Hz),Absolute Amplitude (a.u.)
23.4375,0.2858019486
46.875,0.4890840467
70.3125,1.515566639
93.75,0.6105258753
117.1875,0.3632947224
140.625,0.7027017762
164.0625,3.710117786
187.5,0.5934486914
210.9375,0.7159182708
234.375,1.110213623
257.8125,0.717843658
281.25,2.444420728
304.6875,0.3520711075
328.125,0.8334355837
351.5625,2.025294907
375,9.74064205
398.4375,0.2320104107
421.875,1.994102996
445.3125,2.657759909
468.75,1.180054868
492.1875,1.774403947
515.625,2.12427634
539.0625,2.549642289
562.5,1.26421938
585.9375,0.07225766086
609.375,0.5290480106
632.8125,0.4923581561
656.25,0.8949747097
679.6875,0.8559154347
703.125,0.4867128845
726.5625,1.93999192
750,3.600695777
773.4375,3.11158007
796.875,0.4035410609
820.3125,1.781123094
843.75,0.8869469085
867.1875,2.159065762
890.625,5.318010853
914.0625,1.422951117
937.5,3.373122183
960.9375,0.5496883568
984.375,1.11703565
1007.8125,1.575909395
1031.25,1.117092152
1054.6875,1.321475532
1078.125,2.589944618
1101.5625,0.6630438997
1125,2.545748385
1148.4375,2.399252772
1171.875,0.6080838075
1195.3125,0.4164223449
1218.75,0.7117732615
1242.1875,0.9386479663
1265.625,1.211773432
1289.0625,0.910982293
1312.5,0.8195715919
1335.9375,0.5667072709
1359.375,2.606081124
1382.8125,2.071483284
1406.25,0.80258322
1429.6875,3.045852541
1453.125,0.9837798814
1476.5625,1.621192208
1500,2.883913229
1523.4375,0.47026231
1546.875,1.244401479
1570.3125,1.417278479
1593.75,3.061064623
1617.1875,1.528924384
1640.625,1.692566957
1664.0625,0.9603614386
1687.5,2.861054939
1710.9375,4.623013886
1734.375,2.649238971
1757.8125,2.194795602
1781.25,0.9859440253
1804.6875,0.8516110197
1828.125,1.163443369
1851.5625,1.268622125
1875,0.7296541998
1898.4375,1.45785287
1921.875,1.789818269
1945.3125,1.560407374
1968.75,2.21280943
1992.1875,0.7486673425
2015.625,1.943718679
2039.0625,1.86019955
2062.5,2.097992704
2085.9375,0.2984035525
2109.375,0.8770495279
2132.8125,1.511577137
2156.25,0.3547070873
2179.6875,0.9305206578
2203.125,2.407495099
2226.5625,3.125810663
2250,5.225245037
2273.4375,3.564598981
2296.875,1.56016744
2320.3125,1.944303732
2343.75,3.787780215
2367.1875,2.581453849
2390.625,2.640087763
2414.0625,4.336506084
2437.5,0.1573392672
