Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
23.4375,0.4245174807,23.4375,0.2297560476,23.4375,0.8206054088,23.4375,0.2858019486,23.4375,0.8922410023,23.4375,1.6440362
46.875,0.9189261968,46.875,0.5192321127,46.875,3.703688161,46.875,0.4890840467,46.875,5.568106909,46.875,3.567142038
70.3125,1.264028774,70.3125,0.6643937359,70.3125,3.592699205,70.3125,1.515566639,70.3125,3.202190764,70.3125,3.573581429
93.75,0.6275921787,93.75,0.1427103337,93.75,1.316209893,93.75,0.6105258753,93.75,5.549325198,93.75,3.992591114
117.1875,0.5925107783,117.1875,0.8934465822,117.1875,1.774466336,117.1875,0.3632947224,117.1875,8.033923251,117.1875,6.457144148
140.625,0.5189921352,140.625,0.3222103836,140.625,1.075780421,140.625,0.7027017762,140.625,10.4868272,140.625,2.812655815
164.0625,0.352500126,164.0625,0.1413656203,164.0625,0.6349766957,164.0625,3.710117786,164.0625,5.664031661,164.0625,3.099927995
187.5,0.2780861652,187.5,0.2377788901,187.5,1.071579752,187.5,0.5934486914,187.5,3.467032674,187.5,2.264411461
210.9375,0.2307223376,210.9375,0.08631165778,210.9375,1.352787179,210.9375,0.7159182708,210.9375,2.095451023,210.9375,3.470647686
234.375,0.1751441753,234.375,0.2447172314,234.375,3.004983786,234.375,1.110213623,234.375,0.05422287241,234.375,2.21913801
257.8125,0.02746918653,257.8125,0.05151969921,257.8125,25.61329066,257.8125,0.717843658,257.8125,1.515491628,257.8125,1.620110033
281.25,0.1667817515,281.25,0.08660955894,281.25,2.760919729,281.25,2.444420728,281.25,2.625727656,281.25,1.70006314
304.6875,0.2207506475,304.6875,0.1659865442,304.6875,1.87801737,304.6875,0.3520711075,304.6875,2.766574485,304.6875,0.8694625068
328.125,0.06294404921,328.125,0.0704658141,328.125,2.207591471,328.125,0.8334355837,328.125,1.918898137,328.125,0.7347191989
351.5625,0.2137485109,351.5625,0.04027730285,351.5625,0.5199219788,351.5625,2.025294907,351.5625,0.6139786293,351.5625,1.30671074
375,0.08669393102,375,0.06397752145,375,0.2916156012,375,9.74064205,375,0.6019090993,375,0.8657399345
398.4375,0.1526721665,398.4375,0.03377427391,398.4375,0.2349129916,398.4375,0.2320104107,398.4375,0.8535237491,398.4375,1.164311666
421.875,0.1391644574,421.875,0.04406532804,421.875,0.1700316187,421.875,1.994102996,421.875,0.6050706462,421.875,0.8023936912
445.3125,0.09853745839,445.3125,0.022041555,445.3125,0.62864056,445.3125,2.657759909,445.3125,0.2121702831,445.3125,1.026479513
468.75,0.0251982421,468.75,0.03845857036,468.75,0.8329370682,468.75,1.180054868,468.75,0.408817979,468.75,0.7175413041
492.1875,0.05386581242,492.1875,0.04439453311,492.1875,1.555112855,492.1875,1.774403947,492.1875,0.5318568075,492.1875,0.8036292793
515.625,0.0930944603,515.625,0.0128685185,515.625,3.505481988,515.625,2.12427634,515.625,0.3172843597,515.625,0.7541887969
539.0625,0.09028836998,539.0625,0.06262865355,539.0625,0.1031314352,539.0625,2.549642289,539.0625,0.1872676846,539.0625,0.5558241965
562.5,0.041300726,562.5,0.0203670003,562.5,0.4289397226,562.5,1.26421938,562.5,0.3798904058,562.5,0.752250349
